CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0107,0.9896473177180642,C0174,0.9716730563681819,C0011,0.9672247801756706
C0002,C0142,0.9880872862686265,C0128,0.9626893429200934,C0097,0.9471286804445962
C0003,C0174,0.8719743796651027,C0031,0.8465793626385292,C0001,0.8263137693649631
C0004,C0099,0.9591402116871102,C0087,0.9498113769336641,C0155,0.9399836343655426
C0005,C0097,0.9987487502678624,C0186,0.9973504579787472,C0159,0.9968182578854201
C0006,C0187,0.8984691135905664,C0158,0.8960333770647395,C0011,0.8754627451735958
C0007,C0078,0.9959032019158695,C0080,0.9955154812840622,C0110,0.9921267598433555
C0008,C0162,0.9087860568209399,C0098,0.9074878327167264,C0109,0.9030121867712377
C0009,C0198,0.9874706882430709,C0061,0.9674403871881914,C0060,0.9573166424756955
C0010,C0199,0.956614865048786,C0073,0.9450862391676929,C0197,0.934512742895023
C0011,C0107,0.9857547031623528,C0001,0.9672247801756706,C0174,0.8928252792598926
C0012,C0087,0.9744115377129944,C0013,0.9612277714728352,C0148,0.9583724866102016
C0013,C0155,0.9912529844883011,C0099,0.9890878926071366,C0087,0.9781141437511417
C0014,C0060,0.9995519256165671,C0063,0.9854406620298504,C0198,0.9706978691432374
C0015,C0131,0.9806425157710913,C0058,0.9769520457260126,C0033,0.9751811824658054
C0016,C0183,0.9581554104620187,C0079,0.8616682712785049,C0026,0.8551442034657004
C0017,C0075,0.9686211379964323,C0041,0.9449988958619475,C0162,0.9238419063643771
C0018,C0046,0.8074580702989567,C0059,0.7900487584900142,C0156,0.7617991425320304
C0019,C0069,0.9234131711268492,C0010,0.8236215508891898,C0199,0.8229793635518854
C0020,C0058,0.9958329908677601,C0033,0.9947034927850547,C0131,0.9689849742454246
